Very Low (LM15) Simulation_0.0,Very Low (LM15) Simulation_0.1,Very Low (LM15) Simulation_0.25,Very Low (LM15) Simulation_0.5,Very Low (LM15) Simulation_0.75,Very Low (LM15) Simulation_1.0,Very Low (LM15) Simulation_5.0,Very Low (LM15) Simulation_10.0,Low (LM14) Simulation_0.0,Low (LM14) Simulation_0.1,Low (LM14) Simulation_0.25,Low (LM14) Simulation_0.5,Low (LM14) Simulation_0.75,Low (LM14) Simulation_1.0,Low (LM14) Simulation_5.0,Low (LM14) Simulation_10.0,Medium (LM18) Simulation_0.0,Medium (LM18) Simulation_0.1,Medium (LM18) Simulation_0.25,Medium (LM18) Simulation_0.5,Medium (LM18) Simulation_0.75,Medium (LM18) Simulation_1.0,Medium (LM18) Simulation_5.0,Medium (LM18) Simulation_10.0,High (LM19) Simulation_0.0,High (LM19) Simulation_0.1,High (LM19) Simulation_0.25,High (LM19) Simulation_0.5,High (LM19) Simulation_0.75,High (LM19) Simulation_1.0,High (LM19) Simulation_5.0,High (LM19) Simulation_10.0,Time (hr)
0.0,4.553058580935771e-14,2.0650646027940136e-13,5.909520347351695e-13,9.699014739633462e-13,1.3087059684658274e-12,3.3820465325065798e-12,3.942273845506396e-12,0.0,1.247594478149734e-13,6.463609662163545e-13,1.8140769176036144e-12,3.0138652504151353e-12,4.094918792504205e-12,1.1042922636195369e-11,1.298785575482394e-11,0.0,1.7456516550599925e-13,8.518752751009023e-13,2.4368596811275573e-12,4.0519953417735255e-12,5.519808167367293e-12,1.497028343795932e-11,1.762832274892836e-11,0.0,2.0989797552392752e-13,1.044550871104828e-12,2.9521496465325153e-12,4.916800677145165e-12,6.4811037890036085e-12,1.8336851981440494e-11,2.1629874885676705e-11,10.007147962830594
0.0,1.206861532694535e-13,5.680563279576606e-13,1.5786977589521113e-12,2.5751073680521805e-12,3.46069591316078e-12,8.842199740610856e-12,1.0287245547780909e-11,0.0,3.593626384695114e-13,1.7981755285102663e-12,5.035659691192443e-12,8.332836012904984e-12,1.1307103583447909e-11,3.0230986752177066e-11,3.550094306821378e-11,0.0,4.948175653460951e-13,2.423925785323973e-12,6.862170369881535e-12,1.1375302869336358e-11,1.54662893678714e-11,4.162451684576414e-11,4.8947938195845914e-11,0.0,5.995717004284517e-13,2.9701939047236473e-12,8.37983873250481e-12,1.3925784181631443e-11,1.8810635538559925e-11,5.1504070988758545e-11,6.067801416115569e-11,11.007862759113653
0.0,2.8830816374928714e-13,1.3707954279767544e-12,3.760043673401561e-12,6.107250188655666e-12,8.183880421311123e-12,2.0705807631617572e-11,2.404714979960846e-11,0.0,9.014838208412292e-13,4.453368232471454e-12,1.2439283444771095e-11,2.0530610442980798e-11,2.782146593976206e-11,7.390892619556935e-11,8.669185173679911e-11,0.0,1.2454473871658384e-12,6.111519018411827e-12,1.7184818346988584e-11,2.8426349975357943e-11,3.8594409778541506e-11,1.032847695701348e-10,1.2133509736724684e-10,0.0,1.5204513104201993e-12,7.513125591243524e-12,2.1156495192364826e-11,3.509979059535615e-11,4.774788045318865e-11,1.2904950877999602e-10,1.5190515640063952e-10,12.008577555396712
0.0,6.291113866051005e-13,2.9966241377928673e-12,8.158149345513967e-12,1.3207513990662777e-11,1.7658280839479683e-11,4.4306711069577536e-11,5.137795961225459e-11,0.0,2.041129523401797e-12,1.0023938666110745e-11,2.7934519384013092e-11,4.6017470705465754e-11,6.228681886791496e-11,1.6465604669182464e-10,1.9296158573736568e-10,0.0,2.8450707582450978e-12,1.3948954147855986e-11,3.9100582139420775e-11,6.457533397269203e-11,8.757819778199436e-11,2.333847205569245e-10,2.7397113254832427e-10,0.0,3.498597026210014e-12,1.725927360404231e-11,4.85211717928646e-11,8.0396954726435e-11,1.0929887994532094e-10,2.943361183703457e-10,3.462669818115117e-10,13.009292351679772
0.0,1.2714180838738336e-12,6.0505326279051964e-12,1.6387747908780677e-11,2.6459608044032667e-11,3.531001033360066e-11,8.797204362312457e-11,1.0187891063694813e-10,0.0,4.257349019956174e-12,2.0839035264965455e-11,5.7958321609670943e-11,9.533559074687699e-11,1.2891682862442418e-10,3.394713506270451e-10,3.975519524885147e-10,0.0,5.9968875790459715e-12,2.9386231069589145e-11,8.215108393611251e-11,1.3550570044363442e-10,1.8361755423884753e-10,4.877259204915394e-10,5.722112351939275e-10,0.0,7.426387977265226e-12,3.659140201716338e-11,1.0273084116942475e-10,1.7005703770608943e-10,2.310387739380925e-10,6.206227476158041e-10,7.298222783978486e-10,14.010007147962831
0.0,2.4079342143850564e-12,1.143877849938436e-11,3.085983222309963e-11,4.9713280272670346e-11,6.623661010450405e-11,1.6402234612682337e-10,1.8973655272467754e-10,0.0,8.295767413797134e-12,4.051979797459243e-11,1.1250424860496731e-10,1.8483654992740897e-10,2.4974359869152607e-10,6.555635244127017e-10,7.672921654565394e-10,0.0,1.1813009170618732e-11,5.784393658950896e-11,1.6139418527491754e-10,2.659489490395674e-10,3.6012618329196586e-10,9.540929977807399e-10,1.1188555840452488e-09,0.0,1.4728815247184028e-11,7.250328543062003e-11,2.0332779328459588e-10,3.3632972523865425e-10,4.5669983089982517e-10,1.2244854549710585e-09,1.4395131579099013e-09,15.01072194424589
0.0,4.315162747241224e-12,2.0458050960128514e-11,5.501457102306431e-11,8.845174146361427e-11,1.176893798939056e-10,2.898970854630302e-10,3.350135769532815e-10,0.0,1.5261748862600278e-11,7.442716666009052e-11,2.063482646059995e-10,3.386765523939835e-10,4.572969930067952e-10,1.197214062537695e-09,1.400591675267099e-09,0.0,2.196671942700487e-11,1.0747737524547317e-10,2.994413498845543e-10,4.930171774187772e-10,6.67221374681257e-10,1.7639518498207333e-09,2.0677850693837766e-09,0.0,2.7569732492009925e-11,1.3560811746720896e-10,3.799496276902769e-10,6.281010496635195e-10,8.525322985230902e-10,2.2823944184856083e-09,2.682579165021727e-09,16.01143674052895
0.0,7.374712778968569e-12,3.489469246414186e-11,9.357934808175758e-11,1.5019802985250273e-10,1.9960640246684587e-10,4.893936024066994e-10,5.65063559325445e-10,0.0,2.6727190778403346e-11,1.3017837781961198e-10,3.604615316579203e-10,5.911143317603118e-10,7.976792020256351e-10,2.083632039510355e-09,2.4365911068973344e-09,0.0,3.887185635313472e-11,1.9004258032754878e-10,5.288564914909226e-10,8.70124905238509e-10,1.1770027080092925e-09,3.106043602056545e-09,3.6398913674862714e-09,0.0,4.909859900839864e-11,2.413444389792876e-10,6.756801498172709e-10,1.1164059651266517e-09,1.5147852847465344e-09,4.050404712159785e-09,4.759671763592983e-09,17.01215153681201
0.0,1.2096772655965244e-11,5.7131857535162424e-11,1.5284886271504276e-10,2.4495565033037496e-10,3.251925174469315e-10,7.940011354722761e-10,9.16057062824097e-10,0.0,4.4851121497755933e-11,2.182291450474856e-10,6.035934358092099e-10,9.890824353148482e-10,1.3340247720021268e-09,3.4776959795698623e-09,4.065338622124687e-09,0.0,6.588840376089048e-11,3.2189428194949105e-10,8.948964237556256e-10,1.4714635507875282e-09,1.98957533254861e-09,5.242015531508685e-09,6.141271399462107e-09,0.0,8.37368415243511e-11,4.113751455541336e-10,1.150936067696375e-09,1.900808225775143e-09,2.5783142441188096e-09,6.886859999267901e-09,8.091442098247366e-09,18.01286633309507
0.0,1.914503446913086e-11,9.026502605024002e-11,2.4098437354800084e-10,3.85678577347566e-10,5.115218342193249e-10,1.2443160532657162e-09,1.43459183806213e-09,0.0,7.251173329667252e-11,3.524998986416872e-10,9.740056674257035e-10,1.595001453475772e-09,2.1502635554735007e-09,5.595500262599607e-09,6.5388635052651545e-09,0.0,1.0755220369486187e-10,5.250959544676216e-10,1.458568112697718e-09,2.396987849093081e-09,3.2397507421389225e-09,8.523614105672352e-09,9.983245587702923e-09,0.0,1.3750184329778205e-10,6.75168434080469e-10,1.887850026148798e-09,3.1166029353007944e-09,4.226318344117309e-09,1.1277860409012141e-08,1.3248350368070668e-08,19.013581129378128
